Date,Numberofsubscribers,increament,Bank
2022-05-24,121203,48,CBE
2021-05-24,121155,384,CBE
2020-05-24,120771,119,CBE
2019-05-24,120652,81,CBE
2018-05-24,120571,-29,CBE
2017-05-24,120600,-72,CBE
2016-05-24,120672,-11,CBE
2015-05-24,120683,138,CBE
2014-05-24,120545,226,CBE
2013-05-24,120319,63,CBE
2013-05-24,120319,63,CBE
2012-05-24,120256,17,CBE
2011-05-24,120239,218,CBE
2010-05-24,120021,397,CBE
2009-05-24,119624,876,CBE
2008-05-24,118748,51,CBE
2007-05-24,118697,75,CBE
2006-05-24,118622,12,CBE
2005-05-24,118610,926,CBE
2004-05-24,117684,1420,CBE
2003-05-24,116264,-114,CBE
2002-05-24,116378,245,CBE
2001-05-24,116133,240,CBE
2030-04-24,115893,1203,CBE
2029-04-24,114690,667,CBE
2028-04-24,114023,19,CBE
2027-04-24,114004,20,CBE
2026-04-24,113984,225,CBE
2025-04-24,113759,-99,CBE
2024-04-24,113858,72,CBE
2023-04-24,113786,103,CBE
2022-04-24,113683,97,CBE
2021-04-24,113586,-152,CBE
2020-04-24,113738,11,CBE
2019-04-24,113727,98,CBE
2018-04-24,113629,76,CBE
2017-04-24,113553,25,CBE
2016-04-24,113528,140,CBE
2015-04-24,113388,223,CBE
2014-04-24,113165,106,CBE
2013-04-24,113059,12,CBE
2012-04-24,113047,83,CBE
2011-04-24,112964,-29,CBE
2010-04-24,112993,87,CBE
2009-04-24,112906,382,CBE
2008-04-24,112524,321,CBE
2007-04-24,112203,165,CBE
2006-04-24,112038,204,CBE
2005-04-24,111834,160,CBE
2004-04-24,111674,-20,CBE
2003-04-24,111694,243,CBE
2002-04-24,111451,444,CBE
2001-04-24,111007,307,CBE
2031-03-24,110700,84,CBE
2030-03-24,110616,132,CBE
2029-03-24,110484,217,CBE
2028-03-24,110267,316,CBE
2027-03-24,109951,565,CBE
2026-03-24,109386,376,CBE
2025-03-24,109010,-52,CBE
2024-03-24,109062,88,CBE
2023-03-24,108974,200,CBE
2022-03-24,108774,177,CBE
2021-03-24,108597,312,CBE
2020-03-24,108285,405,CBE
2019-03-24,107880,486,CBE
2018-03-24,107394,926,CBE
2017-03-24,106468,1015,CBE
2016-03-24,105453,2503,CBE
2015-03-24,102950,-14,CBE
2014-03-24,102964,-13,CBE
2013-03-24,102977,-50,CBE
2012-03-24,103027,69,CBE
2011-03-24,102958,24,CBE
2010-03-24,102934,-21,CBE
2009-03-24,102955,68,CBE
2008-03-24,102887,27,CBE
2007-03-24,102860,34,CBE
2006-03-24,102826,146,CBE
2005-03-24,102680,70,CBE
2004-03-24,102610,144,CBE
2003-03-24,102466,-110,CBE
2002-03-24,102576,129,CBE
2001-03-24,102447,123,CBE
2029-02-24,102324,160,CBE
2028-02-24,102164,128,CBE
2027-02-24,102036,57,CBE
2026-02-24,101979,130,CBE
2025-02-24,101849,93,CBE
2024-02-24,101756,153,CBE
2023-02-24,101603,-33,CBE
2022-02-24,101636,284,CBE
2021-02-24,101352,244,CBE
2020-02-24,101108,468,CBE
2019-02-24,100640,88,CBE
2018-02-24,100552,102,CBE
2017-02-24,100450,140,CBE
2016-02-24,100310,85,CBE
2015-02-24,100225,111,CBE
2014-02-24,100114,69,CBE
2013-02-24,100045,34,CBE
2012-02-24,100011,90,CBE
2011-02-24,99921,60,CBE
2010-02-24,99861,-5,CBE
2009-02-24,99866,112,CBE
2008-02-24,99754,-14,CBE
2007-02-24,99768,-47,CBE
2006-02-24,99815,97,CBE
2005-02-24,99718,126,CBE
2004-02-24,99592,103,CBE
2003-02-24,99489,82,CBE
2002-02-24,99407,-3,CBE
2001-02-24,99410,-26,CBE
2031-01-24,99436,237,CBE
2030-01-24,99199,99,CBE
2029-01-24,99100,87,CBE
2028-01-24,99013,75,CBE
2027-01-24,98938,77,CBE
2026-01-24,98861,106,CBE
2025-01-24,98755,320,CBE
2024-01-24,98435,163,CBE
2023-01-24,98272,272,CBE
2022-01-24,98000,37,CBE
2021-01-24,97963,99,CBE
2020-01-24,97864,143,CBE
2019-01-24,97721,184,CBE
2018-01-24,97537,141,CBE
2017-01-24,97396,-65,CBE
2016-01-24,97461,28,CBE
2015-01-24,97433,225,CBE
2014-01-24,97208,159,CBE
2013-01-24,97049,135,CBE
2012-01-24,96914,247,CBE
2011-01-24,96667,773,CBE
2010-01-24,95894,660,CBE
2009-01-24,95234,89,CBE
2008-01-24,95145,141,CBE
2007-01-24,95004,103,CBE
2006-01-24,94901,440,CBE
2005-01-24,94461,117,CBE
2004-01-24,94344,-43,CBE
2003-01-24,94387,-28,CBE
2002-01-24,94415,99,CBE
2001-01-24,94316,136,CBE
2031-12-23,94180,55,CBE
2030-12-23,94125,-6,CBE
2029-12-23,94131,-18,CBE
2028-12-23,94149,65,CBE
2027-12-23,94084,126,CBE
2026-12-23,93958,74,CBE
2023-05-24,161596,-100,BOA
2021-05-24,161696,-10,BOA
2020-05-24,161706,104,BOA
