id,views,date,imageLink,Bank
86450,250.4K,Mar 28 at 17:33,https://t.me/tikvahethiopia/86450,CBE
86164,303.2K,Mar 20 at 20:57,https://t.me/tikvahethiopia/86164,CBE
85979,270.6K,Mar 14 at 19:23,https://t.me/tikvahethiopia/85979,CBE
85379,213.3K,Feb 22 at 16:48,https://t.me/tikvahethiopia/85379,CBE
85187,249.7K,Feb 15 at 18:02,https://t.me/tikvahethiopia/85187,CBE
85084,257.2K,Feb 11 at 21:35,https://t.me/tikvahethiopia/85084,CBE
84985,255.8K,Feb 8 at 09:32,https://t.me/tikvahethiopia/84985,CBE
84880,264.2K,Feb 4 at 21:25,https://t.me/tikvahethiopia/84880,CBE
84798,236.3K,Feb 1 at 14:50,https://t.me/tikvahethiopia/84798,CBE
84685,206.3K,Jan 28 at 17:27,https://t.me/tikvahethiopia/84685,CBE
84448,194.7K,Jan 21 at 15:00,https://t.me/tikvahethiopia/84448,CBE
84348,226.5K,Jan 18 at 15:27,https://t.me/tikvahethiopia/84348,CBE
84259,309.7K,Jan 14 at 19:24,https://t.me/tikvahethiopia/84259,CBE
84193,240.9K,Jan 11 at 21:26,https://t.me/tikvahethiopia/84193,CBE
87018,292.2K,Apr 19 at 20:11,https://t.me/tikvahethiopia/87018,BOA
86867,322.3K,Apr 12 at 21:20,,BOA
86831,273.5K,Apr 11 at 11:06,,BOA
86555,284.3K,Apr 2 at 14:13,https://t.me/tikvahethiopia/86555,BOA
86335,238.4K,Mar 26 at 20:41,https://t.me/tikvahethiopia/86335,BOA
86200,287.7K,Mar 22 at 11:49,,BOA
85730,239.2K,Mar 5 at 11:33,https://t.me/tikvahethiopia/85730,BOA
85407,233.6K,Feb 23 at 23:13,,BOA
85306,251.7K,Feb 20 at 11:39,https://t.me/tikvahethiopia/85306,BOA
84836,270.3K,Feb 2 at 10:36,,BOA
84630,208.7K,Jan 26 at 10:32,https://t.me/tikvahethiopia/84630,BOA
84534,258.0K,Jan 23 at 10:22,https://t.me/tikvahethiopia/84534,BOA
87041,281.8K,Apr 20 at 18:48,https://t.me/tikvahethiopia/87041,GB
86185,265.8K,Mar 21 at 17:15,https://t.me/tikvahethiopia/86185,GB
86036,298.8K,Mar 16 at 15:43,https://t.me/tikvahethiopia/86036,GB
85945,268.0K,Mar 13 at 18:04,https://t.me/tikvahethiopia/85945,GB
86126,309.1K,Mar 18 at 20:47,https://t.me/tikvahethiopia/86126,WG
85697,245.0K,Mar 4 at 10:01,https://t.me/tikvahethiopia/85697,WG
85495,251.7K,Feb 26 at 18:52,https://t.me/tikvahethiopia/85495,WG
85289,273.1K,Feb 19 at 16:40,,WG
85110,217.8K,Feb 12 at 21:17,https://t.me/tikvahethiopia/85110,WG
